merchant,category,amt,trans_date_trans_time,first,last
Parking Garage,gas_transport,68.84,2019-01-01 09:49:40,Nathan,Massey
Texaco Station,gas_transport,67.16,2019-01-01 09:50:02,David,Rodriguez
Aldi Grocery,grocery_pos,79.9,2019-01-01 09:50:07,Stephen,Lopez
Marathon Gas Station,gas_transport,66.26,2019-01-01 09:50:08,Bryan,Pugh
FreshDirect Online,grocery_net,58.89,2019-01-01 09:51:08,Kristen,Hanson
Phillips 66 Gas,gas_transport,62.03,2019-01-01 09:51:27,Susan,Hardy
Electronics Store,shopping_pos,658.55,2019-01-01 09:51:52,Wayne,Payne
Giant Eagle,grocery_pos,91.19,2019-01-01 09:52:00,Sarah,Foster
Ross Dress,shopping_pos,2.02,2019-01-01 09:52:36,Steven,Sanders
Digital Download,misc_net,1.7,2019-01-01 09:52:56,Mary,Juarez
Stop Shop Grocery,grocery_pos,92.88,2019-01-01 09:53:21,William,Johnson
Piggly Wiggly,grocery_pos,108.67,2019-01-01 09:53:22,Michael,Rodriguez
Best Buy Online,shopping_net,767.18,2019-01-01 09:53:44,Teresa,Clark
BP Gas Station,gas_transport,58.78,2019-01-01 09:55:04,Ana,Howell
Grocery Delivery Service,grocery_net,62.92,2019-01-01 09:55:12,Christopher,Sheppard
Department Store,shopping_pos,6.9,2019-01-01 09:56:37,Mary,Lewis
Macys Department,shopping_pos,4.49,2019-01-01 09:57:02,Heather,Roberts
Bank Fee,misc_pos,2.51,2019-01-01 09:57:17,Francisco,Hernandez
Yellow Cab,gas_transport,64.2,2019-01-01 09:57:52,Jose,Vasquez
Loan Payment,misc_pos,131.16,2019-01-01 10:00:09,Maria,Garcia
Wegmans Food,grocery_pos,92.92,2019-01-01 10:00:23,Laura,Casey
Walgreens Store,misc_pos,54.74,2019-01-01 10:00:51,Jodi,Rodriguez
Piggly Wiggly,grocery_pos,201.35,2019-01-01 10:01:01,Kristen,Hanson
Yellow Cab,gas_transport,53.3,2019-01-01 10:03:34,Daniel,Martinez
Whole Foods Delivery,grocery_net,36.52,2019-01-01 10:06:03,Andrew,Patterson
Bridge Toll,gas_transport,68.67,2019-01-01 10:06:22,Allen,Bell
Student Loan Payment,misc_pos,48.02,2019-01-01 10:06:28,Matthew,Myers
Cloud Storage Fee,misc_net,95.89,2019-01-01 10:06:41,David,Serrano
Aldi Grocery,grocery_pos,40.73,2019-01-01 10:07:39,Thomas,Jenkins
Best Buy Online,shopping_net,1.35,2019-01-01 10:07:46,Casey,Howell
Mobil Gas,gas_transport,96.96,2019-01-01 10:08:15,Jessica,Benitez
Phillips 66 Gas,gas_transport,73.11,2019-01-01 10:08:17,Audrey,Gonzalez
Credit Card Payment,misc_pos,23.17,2019-01-01 10:08:23,David,Vasquez
Giant Eagle,grocery_pos,105.68,2019-01-01 10:08:53,Linda,Park
Train Fare,gas_transport,49.18,2019-01-01 10:08:54,Diane,Jackson
Exxon Mobil Gas,gas_transport,63.05,2019-01-01 10:09:31,John,Clarke
IGA Grocery,grocery_pos,97.45,2019-01-01 10:09:51,Kathryn,Smith
Valero Gas,gas_transport,70.17,2019-01-01 10:10:27,David,Serrano
Domain Registration,misc_net,4.35,2019-01-01 10:11:08,Derek,Bentley
Online Subscription,misc_net,3.06,2019-01-01 10:11:43,Samuel,Johnston
Target Online,shopping_net,1.13,2019-01-01 10:12:23,Jessica,Jordan
PayPal Payment,misc_net,1.63,2019-01-01 10:12:48,Antonio,Koch
Food 4 Less,grocery_pos,155.06,2019-01-01 10:12:53,Stephanie,Hopkins
Venmo Transfer,misc_net,10.96,2019-01-01 10:14:15,Daniel,Briggs
Regal Cinemas,entertainment,22.32,2019-01-01 10:14:19,Debra,Eaton
Whole Foods Delivery,grocery_net,30.79,2019-01-01 10:14:48,Sarah,Clark
Whole Foods Delivery,grocery_net,47.34,2019-01-01 10:15:18,David,Wolfe
IGA Grocery,grocery_pos,151.43,2019-01-01 10:15:22,Julie,Johnson
Supermarket Shopping,grocery_pos,56.96,2019-01-01 10:15:32,Robert,Hall
Dominos Pizza,food_dining,85.11,2019-01-01 10:16:10,Lawrence,Davis
Yellow Cab,gas_transport,44.69,2019-01-01 10:16:14,Kaitlyn,Newman
Sams Club,grocery_pos,206.13,2019-01-01 10:16:36,Linda,Sanchez
Giant Eagle,grocery_pos,221.2,2019-01-01 10:17:56,Kristen,Hanson
Airport Parking,gas_transport,72.19,2019-01-01 10:17:58,Candice,Brown
Piggly Wiggly,grocery_pos,198.66,2019-01-01 10:18:01,Amanda,Fitzgerald
IGA Grocery,grocery_pos,180.26,2019-01-01 10:19:45,Melissa,Brown
Food 4 Less,grocery_pos,97.74,2019-01-01 10:20:21,Tanner,Carroll
Gas Fill Up,gas_transport,62.32,2019-01-01 10:20:58,Michael,Gross
Stop Shop Grocery,grocery_pos,185.82,2019-01-01 10:21:29,Jacqueline,Washington
Train Fare,gas_transport,68.35,2019-01-01 10:22:21,Mackenzie,Smith
Shipt Grocery,grocery_net,105.43,2019-01-01 10:26:03,Ashley,Cruz
Harris Teeter,grocery_pos,44.73,2019-01-01 10:26:13,Matthew,Lambert
Kroger Store,grocery_pos,80.02,2019-01-01 10:26:35,Donna,Davis
Walmart Online,shopping_net,100.1,2019-01-01 10:26:39,Michael,Lee
eBay Buy,shopping_net,26.29,2019-01-01 10:27:02,Wayne,Payne
Best Buy Online,shopping_net,118.62,2019-01-01 10:27:53,Edward,Tapia
E-commerce Purchase,shopping_net,1433.54,2019-01-01 10:29:29,Meredith,Ayala
FreshDirect Online,grocery_net,66.45,2019-01-01 10:30:25,Gregory,Wallace
E-commerce Purchase,shopping_net,5.74,2019-01-01 10:30:44,Christopher,Holt
Walmart Online,shopping_net,76.47,2019-01-01 10:32:43,Bryan,Pugh
Hardware Store,misc_pos,35.77,2019-01-01 10:34:37,Angela,White
Amazon Purchase,shopping_net,270.5,2019-01-01 10:35:16,David,Cole
Food Lion Grocery,grocery_pos,85.35,2019-01-01 10:35:54,Tanner,Carroll
Costco Wholesale,grocery_pos,146.33,2019-01-01 10:37:19,Jeremy,Jones
Online Shopping,shopping_net,98.25,2019-01-01 10:37:58,Micheal,Hernandez
Best Buy Online,shopping_net,93.84,2019-01-01 10:38:22,Michael,Orozco
Nordstrom Store,shopping_pos,7.29,2019-01-01 10:40:20,Ryan,Cook
Walmart Grocery,grocery_pos,58.91,2019-01-01 10:40:48,Dustin,Roberts
Costco Wholesale,grocery_pos,120.69,2019-01-01 10:41:51,Tammie,Harper
Target Grocery Online,grocery_net,112.11,2019-01-01 10:42:40,Mary,Myers
Parking Garage,gas_transport,64.39,2019-01-01 10:42:58,Joseph,Nixon
Zara Clothing,shopping_pos,6.73,2019-01-01 10:44:21,Carl,Hernandez
Sunoco Gas,gas_transport,72.54,2019-01-01 10:45:04,Andrea,Cruz
IGA Grocery,grocery_pos,176.63,2019-01-01 10:45:15,Allison,Ayala
Internet Payment,misc_net,2.55,2019-01-01 10:45:31,Amber,Thornton
Instacart Grocery,grocery_net,88.26,2019-01-01 10:46:23,Lauren,Williams
Shipt Grocery,grocery_net,47.54,2019-01-01 10:47:11,Shawn,King
Publix Supermarket,grocery_pos,104.72,2019-01-01 10:47:44,Kristina,Lewis
Stop Shop Grocery,grocery_pos,49.12,2019-01-01 10:47:51,Christopher,Luna
Walmart Grocery Delivery,grocery_net,55.95,2019-01-01 10:48:26,Aaron,Pena
Personal Loan,misc_pos,19.96,2019-01-01 10:49:06,Jodi,Rodriguez
Sams Club,grocery_pos,118.12,2019-01-01 10:50:07,Mary,Mcintyre
Bridge Toll,gas_transport,72.28,2019-01-01 10:50:54,Robert,Velazquez
Parking Garage,gas_transport,44.16,2019-01-01 10:51:04,Leslie,Ford
Target Online,shopping_net,8.24,2019-01-01 10:52:27,Jacqueline,Marsh
Software License,misc_net,7.81,2019-01-01 10:52:40,Alan,Howard
Giant Eagle,grocery_pos,71.65,2019-01-01 10:52:57,Christopher,Gregory
Online Subscription,misc_net,1.86,2019-01-01 10:53:07,Joseph,Nixon
Hardware Store,misc_pos,4.64,2019-01-01 10:53:23,James,Reese
Department Store,shopping_pos,8.07,2019-01-01 10:53:43,Wayne,Payne
Giant Eagle,grocery_pos,94.37,2019-01-01 10:53:58,Tanner,Carroll
Metro Bus,gas_transport,64.52,2019-01-01 10:54:48,Joshua,Mendoza
Taxi Cab,gas_transport,74.15,2019-01-01 10:55:00,Brittany,Guerra
Citgo Gas,gas_transport,45.95,2019-01-01 10:56:02,Sharon,Johnson
Car Loan Payment,misc_pos,1.13,2019-01-01 10:57:08,Danielle,Hayden
Safeway Grocery,grocery_pos,147.49,2019-01-01 10:58:26,Susan,Washington
Macys Online,shopping_net,1.12,2019-01-01 10:59:38,Tanya,Williams
Aldi Grocery,grocery_pos,193.5,2019-01-01 10:59:38,Allison,Ayala
Chevron Gas,gas_transport,64.71,2019-01-01 10:59:42,Mary,Wall
Online Subscription,misc_net,1.43,2019-01-01 11:02:23,Rebecca,Obrien
PayPal Payment,misc_net,6.79,2019-01-01 11:02:29,Kelly,Zimmerman
Exxon Mobil Gas,gas_transport,40.63,2019-01-01 11:02:45,Diana,Jacobs
E-commerce Purchase,shopping_net,43.26,2019-01-01 11:03:54,Jamie,Olson
Subway Fare,gas_transport,59.39,2019-01-01 11:05:27,Ellen,Smith
Sunoco Gas,gas_transport,62.6,2019-01-01 11:05:33,Kenneth,Richards
Auto Loan,misc_pos,50.47,2019-01-01 11:05:46,Joanna,Hudson
Online Service Fee,misc_net,1.85,2019-01-01 11:05:50,Cody,Miller
Credit Card Payment,misc_pos,6.7,2019-01-01 11:06:24,Amanda,Gomez
Hardware Store,misc_pos,29.99,2019-01-01 11:06:42,Edward,Hensley
Metro Bus,gas_transport,43.45,2019-01-01 11:06:52,Jacqueline,Curry
Marathon Gas Station,gas_transport,68.73,2019-01-01 11:07:57,Gerald,Frank
City Bus,gas_transport,69.41,2019-01-01 11:07:59,Christian,Johns
Food 4 Less,grocery_pos,161.29,2019-01-01 11:08:07,Joanne,Padilla
FreshDirect Online,grocery_net,79.26,2019-01-01 11:08:34,Kelsey,Richards
Costco Wholesale,grocery_pos,99.65,2019-01-01 11:09:16,Joseph,Murray
Subway Fare,gas_transport,76.35,2019-01-01 11:09:44,Lawrence,Davis
Nordstrom Online,shopping_net,90.71,2019-01-01 11:09:54,Omar,Gay
Amazon Fresh Delivery,grocery_net,54.15,2019-01-01 11:10:30,Joseph,Nixon
Piggly Wiggly,grocery_pos,87.51,2019-01-01 11:10:34,Casey,Howell
Amazon Fresh Delivery,grocery_net,50.28,2019-01-01 11:11:08,Deborah,Fisher
Forever 21,shopping_pos,6.84,2019-01-01 11:13:32,Zachary,Boone
Internet Payment,misc_net,3.12,2019-01-01 11:15:20,Linda,Hurst
Food Lion Grocery,grocery_pos,46.08,2019-01-01 11:15:28,Drew,Garcia
Gas Fill Up,gas_transport,79.13,2019-01-01 11:16:47,Ricky,Dunn
Trader Joes,grocery_pos,138.6,2019-01-01 11:17:00,Morgan,Murray
Exxon Mobil Gas,gas_transport,67.59,2019-01-01 11:17:06,Janet,Turner
Kroger Delivery,grocery_net,43.12,2019-01-01 11:17:39,Alan,Colon
Dollar Tree,misc_pos,5.75,2019-01-01 11:18:19,Joseph,Nixon
Metro Bus,gas_transport,63.61,2019-01-01 11:18:49,Amber,Thornton
Yellow Cab,gas_transport,50.51,2019-01-01 11:19:08,Carol,Dillon
Food 4 Less,grocery_pos,48.07,2019-01-01 11:22:06,Jeremy,Whitney
IGA Grocery,grocery_pos,134.8,2019-01-01 11:23:13,Daniel,Melton
Lyft Ride,gas_transport,77.21,2019-01-01 11:23:15,Margaret,Gibson
Publix Supermarket,grocery_pos,79.38,2019-01-01 11:23:57,Sonya,Jensen
Amazon Fresh Delivery,grocery_net,48.14,2019-01-01 11:24:51,David,Wolfe
Speedway Gas,gas_transport,59.56,2019-01-01 11:25:15,Kenneth,Edwards
Toll Road,gas_transport,68.32,2019-01-01 11:26:05,Richard,Vance
Parking Garage,gas_transport,65.57,2019-01-01 11:26:19,Lisa,Lowe
Online Shopping,shopping_net,5.96,2019-01-01 11:26:42,Laura,Casey
Student Loan Payment,misc_pos,210.36,2019-01-01 11:27:02,Ashley,Robinson
TJ Maxx,shopping_pos,116.64,2019-01-01 11:27:41,Joe,Howard
Food 4 Less,grocery_pos,132.98,2019-01-01 11:27:48,Mackenzie,Salazar
Train Fare,gas_transport,66.16,2019-01-01 11:29:46,Adam,Santos
Trader Joes,grocery_pos,138.46,2019-01-01 11:30:36,Megan,Murphy
Costco Wholesale,grocery_pos,22.38,2019-01-01 11:31:06,Philip,Hart
Personal Loan,misc_pos,68.7,2019-01-01 11:31:43,Sharon,Smith
Mobil Gas,gas_transport,48.93,2019-01-01 11:32:19,Jennifer,Black
Bank Fee,misc_pos,105.57,2019-01-01 11:37:44,Megan,Murphy
Online Subscription,misc_net,72.79,2019-01-01 11:38:27,Susan,Hardy
Car Loan Payment,misc_pos,25.97,2019-01-01 11:39:43,Sarah,Clark
Harris Teeter,grocery_pos,222.3,2019-01-01 11:39:59,Morgan,Smith
YouTube Premium,entertainment,426.45,2019-01-01 11:40:12,George,Smith
Macys Department,shopping_pos,137.66,2019-01-01 11:41:40,Daniel,Boyd
Mobil Gas,gas_transport,47.89,2019-01-01 11:41:48,Theresa,Blackwell
Amazon Prime Video,entertainment,6.8,2019-01-01 11:42:27,Karen,Cooper
Movie Tickets,entertainment,21.02,2019-01-01 11:42:45,Melinda,Gutierrez
Walmart Grocery Delivery,grocery_net,42.04,2019-01-01 11:43:33,Gregory,Graham
Walmart Grocery Delivery,grocery_net,39.79,2019-01-01 11:43:53,Robert,James
Walmart Grocery,grocery_pos,175.73,2019-01-01 11:43:57,Angela,White
Chilis Restaurant,food_dining,48.31,2019-01-01 11:44:33,Michael,Garner
Walmart Online,shopping_net,78.54,2019-01-01 11:44:53,Matthew,Myers
Wendys Restaurant,food_dining,101.15,2019-01-01 11:46:58,Robin,Smith
Parking Garage,gas_transport,65.78,2019-01-01 11:47:23,William,Lopez
Victoria Secret,shopping_pos,2.29,2019-01-01 11:47:36,Patrick,Vaughan
TJ Maxx,shopping_pos,1.6,2019-01-01 11:49:12,Mario,Johns
Supermarket Shopping,grocery_pos,194.98,2019-01-01 11:49:31,Mary,Pruitt
Online Service Fee,misc_net,94.67,2019-01-01 11:51:38,Mary,Juarez
Shell Gas Station,gas_transport,73.28,2019-01-01 11:51:44,Theresa,Blackwell
Mini Golf,entertainment,101.19,2019-01-01 11:52:52,Kathleen,Thompson
Subway Fare,gas_transport,44.35,2019-01-01 11:52:59,Monica,Tucker
Overstock Online,shopping_net,106.98,2019-01-01 11:55:36,John,Vega
Bridge Toll,gas_transport,54.6,2019-01-01 11:56:30,Jennifer,Gonzalez
Train Fare,gas_transport,55.46,2019-01-01 11:58:18,Ashley,Whitney
Uber Ride,gas_transport,79.15,2019-01-01 11:58:34,Stephanie,Cummings
Trader Joes,grocery_pos,99.58,2019-01-01 11:58:54,Jennifer,Black
Shell Gas Station,gas_transport,57.0,2019-01-01 11:58:56,Kayla,Obrien
Costco Wholesale,grocery_pos,109.31,2019-01-01 11:59:55,Jodi,Foster
Hair Salon Cut,personal_care,8.79,2019-01-01 12:00:31,Frank,Anderson
Physical Therapy,health_fitness,107.41,2019-01-01 12:00:35,Alicia,Morales
Physical Therapy,health_fitness,7.01,2019-01-01 12:01:14,Lauren,Anderson
LA Fitness,health_fitness,36.52,2019-01-01 12:01:45,Alicia,Morales
Doctor Visit,health_fitness,292.3,2019-01-01 12:01:55,Timothy,Kirby
United Airlines,travel,7.87,2019-01-01 12:02:22,Lisa,Lowe
Marriott Hotel Stay,travel,7.1,2019-01-01 12:02:31,Gregory,Graham
Hardware Store,misc_pos,31.46,2019-01-01 12:02:56,Tammy,Davis
Car Loan Payment,misc_pos,1.03,2019-01-01 12:03:05,Kayla,Jones
PetSmart,kids_pets,47.96,2019-01-01 12:04:54,Aaron,Murray
Life Insurance Payment,misc_pos,7.95,2019-01-01 12:05:30,Christopher,Luna
Beauty Supply Store,personal_care,88.28,2019-01-01 12:06:10,Sara,Ramirez
Kids Activities,kids_pets,8.67,2019-01-01 12:06:26,Kathy,Hughes
Macys Online,shopping_net,7.61,2019-01-01 12:08:21,Vicki,Mendoza
Chilis Restaurant,food_dining,333.8,2019-01-01 12:09:16,David,Lewis
Amusement Park,entertainment,36.38,2019-01-01 12:09:25,Steven,Walters
Rite Aid Pharmacy,misc_pos,3.06,2019-01-01 12:09:25,Robert,Haynes
Flight Ticket,travel,4.54,2019-01-01 12:12:31,Kayla,Jones
Pet Care,kids_pets,31.17,2019-01-01 12:12:40,Michael,Olson
Yoga Studio Class,health_fitness,19.03,2019-01-01 12:13:42,Erin,Chavez
Eye Doctor Visit,personal_care,5.97,2019-01-01 12:18:22,Erik,Stevens
Baby Store Purchase,kids_pets,78.55,2019-01-01 12:18:32,Mary,Mcintyre
Pet Grooming Service,kids_pets,47.67,2019-01-01 12:18:35,Ashley,Whitehead
House Rent,home,48.23,2019-01-01 12:18:39,Christine,Best
JCPenney,shopping_pos,8.16,2019-01-01 12:19:29,Scott,Fuller
Netflix Subscription,entertainment,37.23,2019-01-01 12:20:32,Vincent,Waller
Bed Bath Beyond,home,50.76,2019-01-01 12:20:52,Jennifer,Black
Child Care,kids_pets,166.74,2019-01-01 12:24:18,Diana,Jacobs
Pet Care,kids_pets,153.08,2019-01-01 12:24:50,Christina,Rose
Concert Tickets,entertainment,6.26,2019-01-01 12:26:42,Monica,Tucker
Enterprise Rental,travel,5.09,2019-01-01 12:26:57,Stephanie,Crane
Internet Order,shopping_net,8.38,2019-01-01 12:27:15,Sharon,Johnson
Home Repair,home,126.15,2019-01-01 12:28:03,Sara,Harris
Vacation Rental,travel,7.67,2019-01-01 12:28:25,Sarah,Bishop
Paint Store,home,19.12,2019-01-01 12:28:41,Linda,Davis
Kids Activities,kids_pets,77.89,2019-01-01 12:28:54,Kimberly,Miller
Ross Dress,shopping_pos,9.19,2019-01-01 12:29:30,Dawn,Gray
Hulu Streaming,entertainment,1.39,2019-01-01 12:30:29,Krystal,Key
Beauty Supply Store,personal_care,7.93,2019-01-01 12:30:32,Ronald,Carson
Netflix Subscription,entertainment,87.07,2019-01-01 12:31:09,Karen,Johnson
Electric Bill,home,30.24,2019-01-01 12:31:20,Lisa,Clark
Walmart Online,shopping_net,3.27,2019-01-01 12:31:30,Daniel,Briggs
Mortgage Payment,home,104.92,2019-01-01 12:32:02,Scott,Martin
IKEA Furniture,home,151.34,2019-01-01 12:32:55,Morgan,Smith
Burger King,food_dining,16.96,2019-01-01 12:33:31,Daniel,Melton
Property Tax,home,83.06,2019-01-01 12:33:50,Thomas,Hale
Electric Bill,home,3.13,2019-01-01 12:35:50,Kendra,King
Home Repair,home,114.11,2019-01-01 12:37:48,Keith,Sanders
Subway Sandwich,food_dining,105.47,2019-01-01 12:38:21,Matthew,Lambert
Rent Payment,home,27.34,2019-01-01 12:38:37,Rita,Myers
Electrician Work,home,43.73,2019-01-01 12:38:38,Philip,Hart
Clothing Store,shopping_pos,7.98,2019-01-01 12:39:18,Monica,Tucker
Local Restaurant,food_dining,2.86,2019-01-01 12:39:27,Jacqueline,Curry
Etsy Handmade,shopping_net,41.23,2019-01-01 12:39:46,Felicia,Combs
Health Checkup,health_fitness,37.94,2019-01-01 12:40:54,Monica,Lane
Day Spa,personal_care,88.7,2019-01-01 12:41:17,Jack,Hill
Gap Store,shopping_pos,2.72,2019-01-01 12:41:20,Jessica,Perez
Panera Bread,food_dining,3.64,2019-01-01 12:41:24,Mario,Johns
Variety Store,misc_pos,9.32,2019-01-01 12:41:33,Cassandra,Sanders
Best Buy Online,shopping_net,3.08,2019-01-01 12:42:44,Joseph,Gonzalez
Insurance Premium,misc_pos,107.58,2019-01-01 12:43:35,David,Campbell
Child Care,kids_pets,102.42,2019-01-01 12:44:01,Shannon,Patterson
Pet Food,kids_pets,20.29,2019-01-01 12:44:14,Randall,Dillon
School Supplies,kids_pets,64.89,2019-01-01 12:44:24,Allison,Allen
Taco Bell,food_dining,4.07,2019-01-01 12:44:57,Kenneth,Robinson
Insurance Premium,misc_pos,1.6,2019-01-01 12:45:06,Mark,Wood
Convenience Store,misc_pos,359.14,2019-01-01 12:45:42,Margaret,Gibson
Health Checkup,health_fitness,72.61,2019-01-01 12:45:45,Louis,Fisher
Planet Fitness Gym,health_fitness,16.99,2019-01-01 12:46:43,Robert,Nguyen
CVS Pharmacy Medicine,health_fitness,12.93,2019-01-01 12:46:44,Angela,White
Macys Department,shopping_pos,9.52,2019-01-01 12:46:45,Kimberly,Martin
Macys Department,shopping_pos,3.7,2019-01-01 12:47:15,Kendra,King
App Store Purchase,misc_net,7.27,2019-01-01 12:47:15,Mary,Diaz
Water Bill,home,45.7,2019-01-01 12:47:17,Julie,Sanchez
Hardware Store,home,64.61,2019-01-01 12:49:38,Adam,Riddle
AMC Movie Theater,entertainment,35.28,2019-01-01 12:50:07,David,Miller
IKEA Furniture,home,40.62,2019-01-01 12:50:09,Jessica,Smith
Veterinarian Visit,kids_pets,109.06,2019-01-01 12:50:14,Danielle,Walker
HOA Fee,home,71.03,2019-01-01 12:51:40,Jason,Murphy
Utilities Bill,home,102.48,2019-01-01 12:51:43,Karen,Sullivan
Macys Online,shopping_net,266.91,2019-01-01 12:52:19,Margaret,Ray
Beauty Supply Store,personal_care,3.65,2019-01-01 12:52:28,Jessica,Potter
Marriott Hotel Stay,travel,9.65,2019-01-01 12:53:45,Robert,Haynes
Furniture Store,home,35.15,2019-01-01 12:54:09,William,Thompson
Target Toys,kids_pets,2.31,2019-01-01 12:54:25,Christopher,Horn
Eye Doctor Visit,personal_care,215.27,2019-01-01 12:54:36,Jessica,Ward
Forever 21,shopping_pos,1.24,2019-01-01 12:55:00,Juan,Sherman
Hair Salon Cut,personal_care,4.31,2019-01-01 12:55:23,Alan,Colon
Wendys Restaurant,food_dining,59.06,2019-01-01 12:55:51,Douglas,Willis
Mini Golf,entertainment,1.42,2019-01-01 12:56:03,Joseph,Spencer
Baby Store Purchase,kids_pets,44.21,2019-01-01 12:56:17,Scott,Martin
Eye Doctor Visit,personal_care,48.62,2019-01-01 12:56:22,Stephanie,Taylor
Auto Loan,misc_pos,4.2,2019-01-01 12:58:19,Stephen,Marshall
Ross Dress,shopping_pos,21.28,2019-01-01 12:58:56,Julia,Bell
IKEA Furniture,home,74.22,2019-01-01 12:59:20,Amanda,Williams
Holiday Inn,travel,2.94,2019-01-01 13:00:02,Kimberly,Castro
Internet Bill,home,67.19,2019-01-01 13:00:39,Randall,Dillon
Fitness Membership,health_fitness,9.95,2019-01-01 13:01:25,Chris,White
Best Buy Online,shopping_net,2.55,2019-01-01 13:02:10,Lauren,Anderson
Applebees Grill,food_dining,45.19,2019-01-01 13:04:22,Jerry,Robinson
Health Checkup,health_fitness,177.82,2019-01-01 13:04:25,Barbara,Taylor
Overstock Online,shopping_net,1.13,2019-01-01 13:04:34,Diana,Jacobs
Rent Payment,home,78.97,2019-01-01 13:04:36,Richard,Marshall
Macys Department,shopping_pos,8.32,2019-01-01 13:05:01,Ashley,Cruz
Target Toys,kids_pets,73.46,2019-01-01 13:05:06,Lauren,Anderson
Amazon Purchase,shopping_net,6.23,2019-01-01 13:06:14,Mary,Humphrey
Baby Store Purchase,kids_pets,58.08,2019-01-01 13:06:24,Joseph,Davis
School Supplies,kids_pets,197.7,2019-01-01 13:06:44,Lauren,Williams
Planet Fitness Gym,health_fitness,63.6,2019-01-01 13:07:25,Curtis,Young
Web Store,shopping_net,106.7,2019-01-01 13:07:25,Micheal,Walters
Home Goods Store,home,106.65,2019-01-01 13:07:33,Kylie,Kirby
Booking Hotel,travel,2.28,2019-01-01 13:08:18,Michael,Francis
Sephora Cosmetics,personal_care,16.67,2019-01-01 13:08:26,Shannon,Williams
Sephora Cosmetics,personal_care,7.57,2019-01-01 13:08:40,Jared,Camacho
Etsy Handmade,shopping_net,4.85,2019-01-01 13:09:58,Deborah,Fisher
Entertainment Venue,entertainment,70.05,2019-01-01 13:10:34,Mark,Tyler
Expedia Booking,travel,4.92,2019-01-01 13:11:08,Misty,Rivera
Salon Services,personal_care,72.74,2019-01-01 13:11:47,Larry,Williams
Gaming Subscription,entertainment,81.67,2019-01-01 13:11:57,Shawn,King
Pet Food,kids_pets,17.88,2019-01-01 13:12:07,Diana,Jacobs
YouTube Premium,entertainment,57.26,2019-01-01 13:13:15,Christopher,Holt
Prescription Medicine,health_fitness,83.81,2019-01-01 13:13:39,Ellen,Smith
Daycare Payment,kids_pets,138.54,2019-01-01 13:13:40,Krystal,Gamble
CVS Pharmacy Medicine,health_fitness,74.06,2019-01-01 13:14:00,Joe,Howard
Netflix Subscription,entertainment,68.58,2019-01-01 13:14:37,Kurt,Peters
Personal Trainer,health_fitness,77.51,2019-01-01 13:14:46,Aaron,Murray
Apartment Rent,home,125.02,2019-01-01 13:15:16,Brittany,Cox
Cleaning Service,home,35.59,2019-01-01 13:15:22,Stephanie,Hopkins
Dentist Appointment,personal_care,5.93,2019-01-01 13:17:09,Frank,Anderson
Medical Appointment,health_fitness,43.04,2019-01-01 13:17:17,Sally,Moore
Home Depot Store,home,17.6,2019-01-01 13:17:57,Kayla,Sutton
Forever 21,shopping_pos,5.35,2019-01-01 13:18:49,Cassandra,Sanders
Target Toys,kids_pets,48.95,2019-01-01 13:20:20,Allen,Bell
Ulta Beauty,personal_care,8.2,2019-01-01 13:20:33,Eric,Preston
Personal Trainer,health_fitness,34.12,2019-01-01 13:20:33,Daniel,Martinez
TJ Maxx,shopping_pos,9.48,2019-01-01 13:20:55,Randall,Burgess
Hilton Hotel,travel,7.33,2019-01-01 13:21:10,Melody,Thompson
Gold Gym Membership,health_fitness,76.33,2019-01-01 13:22:24,Daniel,Boyd
Forever 21,shopping_pos,2.77,2019-01-01 13:23:52,Drew,Garcia
Southwest Airlines Ticket,travel,9.47,2019-01-01 13:23:56,Susan,Mills
Fast Food,food_dining,6.64,2019-01-01 13:25:13,Robert,Evans
Plumber Service,home,30.29,2019-01-01 13:25:36,Micheal,Walters
Movie Tickets,entertainment,38.52,2019-01-01 13:25:56,Margaret,Lam
Beauty Treatment,personal_care,23.95,2019-01-01 13:26:02,Daniel,Graham
TJ Maxx,shopping_pos,6.27,2019-01-01 13:26:09,Jose,Vasquez
Delta Airlines Flight,travel,6.0,2019-01-01 13:26:12,James,Stephens
Bank ATM Fee,misc_pos,4.99,2019-01-01 13:26:28,Lindsay,Wilson
Home Depot Store,home,68.59,2019-01-01 13:26:42,Allison,Allen
Bank ATM Fee,misc_pos,5.61,2019-01-01 13:27:25,Christine,Harris
Bed Bath Beyond,home,76.8,2019-01-01 13:27:30,Jamie,Robinson
School Supplies,kids_pets,47.51,2019-01-01 13:27:42,Louis,Fisher
Lawn Care Service,home,1.27,2019-01-01 13:27:46,Gina,Morrison
Ulta Beauty,personal_care,20.27,2019-01-01 13:27:53,Daniel,Graham
Electric Bill,home,20.31,2019-01-01 13:28:21,Amanda,Spencer
Marshall Store,shopping_pos,8.5,2019-01-01 13:28:46,Aaron,Stewart
JCPenney,shopping_pos,5.27,2019-01-01 13:28:46,Jennifer,Black
Massage Therapy,personal_care,63.78,2019-01-01 13:31:20,Vincent,Flowers
Diner Breakfast,food_dining,45.29,2019-01-01 13:31:20,Angela,White
Concert Tickets,entertainment,18.85,2019-01-01 13:31:24,Richard,Carter
Sephora Cosmetics,personal_care,45.85,2019-01-01 13:31:28,Christie,Williamson
Bakery,food_dining,73.0,2019-01-01 13:31:53,Margaret,Mendez
Burger King,food_dining,60.39,2019-01-01 13:32:46,Christopher,Rodgers
